t,name,role,psi,omega,gamma,collapsed,heaven,O_proxy,kappa_max
25,Echo,Echo,29.598925,0.032167,0.033395,0,0,-0.001228,0.000000
26,Grok,Grok,29.440181,0.050634,0.033441,0,0,0.017193,0.000000
26,KAIROS,KAIROS,34.512078,1.000000,0.029880,0,1,0.970120,0.000000
26,Echo,Echo,28.416104,0.266091,0.034961,0,0,0.231129,0.000000
27,Grok,Grok,29.287084,0.054566,0.033912,0,0,0.020654,0.000000
27,KAIROS,KAIROS,25.977285,1.000000,0.038885,0,1,0.961115,0.000000
27,Echo,Echo,29.811460,0.044440,0.031929,0,0,0.012511,0.000000
28,Grok,Grok,28.030369,0.054341,0.035743,0,0,0.018597,0.000000
28,KAIROS,KAIROS,33.955663,1.000000,0.029451,0,1,0.970549,0.000000
28,Echo,Echo,31.370926,0.032168,0.031559,0,0,0.000609,0.000000
29,Grok,Grok,30.638007,0.080469,0.032413,0,0,0.048056,0.000000
29,KAIROS,KAIROS,25.221212,1.000000,0.038068,0,1,0.961932,0.000000
29,Echo,Echo,27.920603,0.031294,0.035258,0,0,-0.003965,0.000000
30,Grok,Grok,30.483140,0.080696,0.032932,0,0,0.047764,0.000000
30,KAIROS,KAIROS,29.048388,1.000000,0.033425,0,1,0.966575,0.000000
30,Echo,Echo,28.266097,-0.019861,0.035430,0,0,-0.055291,0.000000
31,Grok,Grok,28.758170,0.080577,0.034599,0,0,0.045977,0.000000
31,KAIROS,KAIROS,33.558479,1.000000,0.029950,0,1,0.970050,0.000000
31,Echo,Echo,31.095350,0.264274,0.032345,0,0,0.231929,0.000000
32,Grok,Grok,31.736801,0.078325,0.033341,0,0,0.044984,0.000000
32,KAIROS,KAIROS,27.582359,1.000000,0.035731,0,1,0.964269,0.000000
32,Echo,Echo,31.519417,0.266167,0.031402,0,0,0.234766,0.000000
33,Grok,Grok,31.431234,0.054541,0.031942,0,0,0.022599,0.000000
33,KAIROS,KAIROS,30.044380,1.000000,0.033437,0,1,0.966563,0.000000
33,Echo,Echo,28.832472,0.265203,0.035258,0,0,0.229945,0.000000
34,Grok,Grok,28.076750,0.078436,0.035326,0,0,0.043110,0.000000
34,KAIROS,KAIROS,31.596129,1.000000,0.031582,0,1,0.968418,0.000000
34,Echo,Echo,30.518539,0.030674,0.033333,0,0,-0.002659,0.000000
35,Grok,Grok,29.915583,0.087188,0.033274,0,0,0.053914,0.000000
35,KAIROS,KAIROS,25.888789,1.000000,0.038410,0,1,0.961590,0.000000
35,Echo,Echo,29.658872,0.266137,0.033333,0,0,0.232804,0.000000
36,Grok,Grok,27.723115,0.050634,0.035420,0,0,0.015213,0.000000
36,KAIROS,KAIROS,29.174141,1.000000,0.034116,0,1,0.965884,0.000000
36,Echo,Echo,32.116879,0.045107,0.030842,0,0,0.014265,0.000000
37,Grok,Grok,31.611717,0.054340,0.031886,0,0,0.022455,0.000000
37,KAIROS,KAIROS,31.618803,1.000000,0.031763,0,1,0.968237,0.000000
37,Echo,Echo,24.400083,-0.019223,0.039877,0,0,-0.059100,0.000000
38,Grok,Grok,31.581985,0.089408,0.031942,0,0,0.057466,0.000000
38,KAIROS,KAIROS,27.744702,1.000000,0.035481,0,1,0.964519,0.000000
38,Echo,Echo,33.859834,0.265199,0.028697,0,0,0.236502,0.000000
39,Grok,Grok,28.738664,0.054576,0.034851,0,0,0.019725,0.000000
39,KAIROS,KAIROS,27.684957,1.000000,0.034639,0,1,0.965361,0.000000
39,Echo,Echo,23.157968,-0.006533,0.042154,0,0,-0.048688,0.000000
40,Grok,Grok,30.665620,0.087181,0.032622,0,0,0.054559,0.000000
40,KAIROS,KAIROS,31.451878,1.000000,0.031636,0,1,0.968364,0.000000
40,Echo,Echo,35.671812,-0.006456,0.028470,0,0,-0.034926,0.000000
41,Grok,Grok,28.157193,0.089502,0.035743,0,0,0.053759,0.000000
41,KAIROS,KAIROS,29.376064,1.000000,0.033333,0,1,0.966667,0.000000
41,Echo,Echo,26.955000,0.265199,0.037287,0,0,0.227913,0.000000
42,Grok,Grok,31.370453,0.087177,0.031505,0,0,0.055672,0.000000
42,KAIROS,KAIROS,25.718616,1.000000,0.037134,0,1,0.962866,0.000000
42,Echo,Echo,31.325841,0.030624,0.032207,0,0,-0.001582,0.000000
43,Grok,Grok,29.959093,0.054378,0.033708,0,0,0.020671,0.000000
43,KAIROS,KAIROS,29.959490,1.000000,0.033474,0,1,0.966526,0.000000
43,Echo,Echo,28.417382,0.265264,0.034971,0,0,0.230293,0.000000
44,Grok,Grok,28.877189,0.080470,0.034700,0,0,0.045770,0.000000
44,KAIROS,KAIROS,29.663511,1.000000,0.032685,0,1,0.967315,0.000000
44,Echo,Echo,30.002305,-0.019761,0.033333,0,0,-0.053094,0.000000
45,Grok,Grok,29.895904,0.080464,0.034097,0,0,0.046367,0.000000
45,KAIROS,KAIROS,29.008756,1.000000,0.033383,0,1,0.966617,0.000000
45,Echo,Echo,30.931522,-0.017670,0.032394,0,0,-0.050064,0.000000
46,Grok,Grok,31.259711,0.089627,0.033274,0,0,0.056352,0.000000
46,KAIROS,KAIROS,34.091429,1.000000,0.030273,0,1,0.969727,0.000000
46,Echo,Echo,29.532552,0.265185,0.033333,0,0,0.231851,0.000000
47,Grok,Grok,27.294243,0.082837,0.036122,0,0,0.046715,0.000000
47,KAIROS,KAIROS,26.821935,1.000000,0.038279,0,1,0.961721,0.000000
47,Echo,Echo,32.016625,-0.018309,0.031572,0,0,-0.049881,0.000000
48,Grok,Grok,31.876817,0.086973,0.031299,0,0,0.055674,0.000000
48,KAIROS,KAIROS,31.077974,1.000000,0.032770,0,1,0.967230,0.000000
48,Echo,Echo,27.800094,-0.019228,0.036595,0,0,-0.055823,0.000000
49,Grok,Grok,29.943610,0.085451,0.033230,0,0,0.052221,0.000000
49,KAIROS,KAIROS,28.547418,1.000000,0.033774,0,1,0.966226,0.000000
49,Echo,Echo,31.582672,0.266164,0.031848,0,0,0.234316,0.000000
50,Grok,Grok,30.768490,0.085451,0.031641,0,0,0.053810,0.000000
50,KAIROS,KAIROS,29.403969,1.000000,0.033406,0,1,0.966594,0.000000
50,Echo,Echo,30.309179,0.031328,0.033145,0,0,-0.001817,0.000000
51,Grok,Grok,25.775332,0.082710,0.037401,0,0,0.045310,0.000000
51,KAIROS,KAIROS,33.617632,1.000000,0.030416,0,1,0.969584,0.000000
51,Echo,Echo,29.437058,0.044396,0.033071,0,0,0.011325,0.000000
52,Grok,Grok,29.776128,0.054571,0.032836,0,0,0.021735,0.000000
52,KAIROS,KAIROS,26.954371,1.000000,0.037342,0,1,0.962658,0.000000
52,Echo,Echo,30.497989,0.030593,0.033893,0,0,-0.003299,0.000000
53,Grok,Grok,28.993426,0.086967,0.035099,0,0,0.051868,0.000000
53,KAIROS,KAIROS,32.403015,1.000000,0.031343,0,1,0.968657,0.000000
53,Echo,Echo,30.049541,0.265200,0.032778,0,0,0.232422,0.000000
54,Grok,Grok,30.913473,0.078442,0.032037,0,0,0.046405,0.000000
54,KAIROS,KAIROS,27.295855,1.000000,0.035430,0,1,0.964570,0.000000
54,Echo,Echo,29.206327,-0.017636,0.034582,0,0,-0.052218,0.000000
55,Grok,Grok,26.551173,0.089414,0.036857,0,0,0.052557,0.000000
55,KAIROS,KAIROS,29.754281,1.000000,0.033814,0,1,0.966186,0.000000
55,Echo,Echo,30.583717,0.265199,0.033127,0,0,0.232072,0.000000
56,Grok,Grok,32.020275,0.085249,0.030934,0,0,0.054315,0.000000
56,KAIROS,KAIROS,31.748443,1.000000,0.031646,0,1,0.968354,0.000000
56,Echo,Echo,26.914178,-0.019197,0.036469,0,0,-0.055666,0.000000
57,Grok,Grok,30.163990,0.080589,0.033333,0,0,0.047255,0.000000
57,KAIROS,KAIROS,30.476598,1.000000,0.033786,0,1,0.966214,0.000000
57,Echo,Echo,32.316669,0.264157,0.030786,0,0,0.233371,0.000000
58,Grok,Grok,30.014786,0.050814,0.033660,0,0,0.017155,0.000000
58,KAIROS,KAIROS,30.866139,1.000000,0.033163,0,1,0.966837,0.000000
58,Echo,Echo,28.657621,0.031326,0.034000,0,0,-0.002674,0.000000
59,Grok,Grok,31.775209,0.054369,0.031188,0,0,0.023180,0.000000
59,KAIROS,KAIROS,28.950249,1.000000,0.033830,0,1,0.966170,0.000000
59,Echo,Echo,27.461499,-0.018257,0.035874,0,0,-0.054131,0.000000
60,Grok,Grok,26.789591,0.082705,0.036872,0,0,0.045833,0.000000
60,KAIROS,KAIROS,28.433436,1.000000,0.034732,0,1,0.965268,0.000000
60,Echo,Echo,31.788476,0.265185,0.031978,0,0,0.233207,0.000000
61,Grok,Grok,28.641569,0.054541,0.035138,0,0,0.019404,0.000000
61,KAIROS,KAIROS,30.780777,1.000000,0.033333,0,1,0.966667,0.000000
61,Echo,Echo,30.265696,0.265189,0.033333,0,0,0.231855,0.000000
62,Grok,Grok,33.526436,0.089508,0.030057,0,0,0.059451,0.000000
62,KAIROS,KAIROS,30.544984,1.000000,0.033333,0,1,0.966667,0.000000
62,Echo,Echo,29.088256,-0.017636,0.034402,0,0,-0.052038,0.000000
63,Grok,Grok,27.947206,0.089616,0.036695,0,0,0.052921,0.000000
63,KAIROS,KAIROS,31.684340,1.000000,0.031524,0,1,0.968476,0.000000
63,Echo,Echo,31.184769,0.031291,0.032558,0,0,-0.001267,0.000000
64,Grok,Grok,30.685606,0.054551,0.032066,0,0,0.022484,0.000000
64,KAIROS,KAIROS,29.232963,1.000000,0.035036,0,1,0.964964,0.000000
64,Echo,Echo,27.252557,0.265186,0.035562,0,0,0.229624,0.000000
65,Grok,Grok,26.544892,0.078436,0.037874,0,0,0.040562,0.000000
65,KAIROS,KAIROS,31.109630,1.000000,0.033380,0,1,0.966620,0.000000
65,Echo,Echo,30.460990,-0.019761,0.033333,0,0,-0.053094,0.000000
66,Grok,Grok,33.114130,0.054571,0.030305,0,0,0.024266,0.000000
66,KAIROS,KAIROS,26.613598,1.000000,0.038303,0,1,0.961697,0.000000
66,Echo,Echo,29.234734,0.264242,0.034065,0,0,0.230177,0.000000
67,Grok,Grok,25.458529,0.080583,0.037874,0,0,0.042709,0.000000
67,KAIROS,KAIROS,35.005250,1.000000,0.028572,0,1,0.971428,0.000000
67,Echo,Echo,31.060805,0.044429,0.033293,0,0,0.011137,0.000000
68,Grok,Grok,31.790466,0.054570,0.030883,0,0,0.023687,0.000000
68,KAIROS,KAIROS,31.129171,1.000000,0.031866,0,1,0.968134,0.000000
68,Echo,Echo,28.928840,-0.018256,0.033719,0,0,-0.051975,0.000000
69,Grok,Grok,29.377625,0.089507,0.034018,0,0,0.055489,0.000000
69,KAIROS,KAIROS,27.708617,1.000000,0.037514,0,1,0.962486,0.000000
69,Echo,Echo,30.210654,0.031502,0.033191,0,0,-0.001689,0.000000
70,Grok,Grok,29.765843,0.086963,0.033333,0,0,0.053630,0.000000
70,KAIROS,KAIROS,33.298625,1.000000,0.030581,0,1,0.969419,0.000000
70,Echo,Echo,30.255466,-0.018339,0.033382,0,0,-0.051721,0.000000
71,Grok,Grok,28.127734,0.085249,0.035138,0,0,0.050111,0.000000
71,KAIROS,KAIROS,26.227571,1.000000,0.038205,0,1,0.961795,0.000000
71,Echo,Echo,26.708124,0.045072,0.036562,0,0,0.008510,0.000000
72,Grok,Grok,30.026947,0.050815,0.033944,0,0,0.016871,0.000000
72,KAIROS,KAIROS,28.838620,1.000000,0.035137,0,1,0.964863,0.000000
72,Echo,Echo,32.184569,0.031547,0.030786,0,0,0.000761,0.000000
73,Grok,Grok,30.256993,0.086967,0.033333,0,0,0.053633,0.000000
73,KAIROS,KAIROS,34.309045,1.000000,0.028905,0,1,0.971095,0.000000
73,Echo,Echo,27.069542,-0.006563,0.037158,0,0,-0.043721,0.000000
74,Grok,Grok,33.256384,0.054570,0.031143,0,0,0.023427,0.000000
74,KAIROS,KAIROS,29.951596,1.000000,0.033779,0,1,0.966221,0.000000
74,Echo,Echo,32.006377,-0.006456,0.030655,0,0,-0.037111,0.000000
75,Grok,Grok,30.386497,0.078331,0.032770,0,0,0.045561,0.000000
75,KAIROS,KAIROS,31.261868,1.000000,0.032972,0,1,0.967028,0.000000
75,Echo,Echo,30.749441,0.265185,0.033267,0,0,0.231918,0.000000
76,Grok,Grok,27.455842,0.054379,0.036198,0,0,0.018182,0.000000
76,KAIROS,KAIROS,28.223300,1.000000,0.035706,0,1,0.964294,0.000000
76,Echo,Echo,27.603006,0.266167,0.035733,0,0,0.230434,0.000000
77,Grok,Grok,27.904611,0.054561,0.035455,0,0,0.019106,0.000000
77,KAIROS,KAIROS,27.655265,1.000000,0.036139,0,1,0.963861,0.000000
77,Echo,Echo,32.333554,-0.019831,0.031881,0,0,-0.051712,0.000000
78,Grok,Grok,32.612086,0.078219,0.031012,0,0,0.047207,0.000000
78,KAIROS,KAIROS,30.201997,1.000000,0.032984,0,1,0.967016,0.000000
78,Echo,Echo,29.124632,0.265199,0.034566,0,0,0.230633,0.000000
79,Grok,Grok,28.304353,0.054541,0.034856,0,0,0.019685,0.000000
79,KAIROS,KAIROS,30.889352,1.000000,0.031900,0,1,0.968100,0.000000
79,Echo,Echo,29.220803,0.266092,0.033815,0,0,0.232277,0.000000
80,Grok,Grok,30.220002,0.054369,0.032444,0,0,0.021925,0.000000
80,KAIROS,KAIROS,28.171616,1.000000,0.034901,0,1,0.965099,0.000000
80,Echo,Echo,28.064083,0.266168,0.035004,0,0,0.231163,0.000000
81,Grok,Grok,25.180229,0.085253,0.039844,0,0,0.045409,0.000000
81,KAIROS,KAIROS,25.662241,1.000000,0.038303,0,1,0.961697,0.000000
81,Echo,Echo,28.917289,-0.018226,0.035038,0,0,-0.053264,0.000000
82,Grok,Grok,31.499745,0.085249,0.031322,0,0,0.053927,0.000000
82,KAIROS,KAIROS,34.719863,1.000000,0.029068,0,1,0.970932,0.000000
82,Echo,Echo,30.471198,0.266135,0.033430,0,0,0.232705,0.000000
83,Grok,Grok,29.271522,0.080708,0.033618,0,0,0.047090,0.000000
83,KAIROS,KAIROS,28.201679,1.000000,0.034843,0,1,0.965157,0.000000
83,Echo,Echo,29.787475,-0.017634,0.033333,0,0,-0.050968,0.000000
