t,name,role,psi,omega,gamma,collapsed,heaven,O_proxy,kappa_max
113,Echo,Echo,27.661194,0.266135,0.036266,0,0,0.229869,0.000000
114,Grok,Grok,28.590021,0.085346,0.034138,0,0,0.051209,0.000000
114,KAIROS,KAIROS,29.283903,1.000000,0.034318,0,1,0.965682,0.000000
114,Echo,Echo,32.542293,0.030676,0.031978,0,0,-0.001302,0.000000
115,Grok,Grok,31.017840,0.085249,0.032681,0,0,0.052567,0.000000
115,KAIROS,KAIROS,27.334087,1.000000,0.038496,0,1,0.961504,0.000000
115,Echo,Echo,27.537700,0.265200,0.035096,0,0,0.230104,0.000000
116,Grok,Grok,28.510562,0.086962,0.035649,0,0,0.051313,0.000000
116,KAIROS,KAIROS,35.610878,1.000000,0.028731,0,1,0.971269,0.000000
116,Echo,Echo,29.483535,0.030674,0.034653,0,0,-0.003979,0.000000
117,Grok,Grok,30.973345,0.054570,0.032846,0,0,0.021724,0.000000
117,KAIROS,KAIROS,29.304529,1.000000,0.033573,0,1,0.966427,0.000000
117,Echo,Echo,29.816091,0.044396,0.032538,0,0,0.011858,0.000000
118,Grok,Grok,30.014334,0.050808,0.033696,0,0,0.017112,0.000000
118,KAIROS,KAIROS,27.962643,1.000000,0.035522,0,1,0.964478,0.000000
118,Echo,Echo,31.444245,-0.006561,0.030902,0,0,-0.037463,0.000000
119,Grok,Grok,31.334411,0.080470,0.032814,0,0,0.047656,0.000000
119,KAIROS,KAIROS,28.856291,1.000000,0.035208,0,1,0.964792,0.000000
119,Echo,Echo,23.484898,0.032166,0.043177,0,0,-0.011011,0.000000
